Englisch,Deutsch
1 foot,1 Fuß
1 inch,1 Zoll
1 mile,1 Meile
62 44 2,62 44 3
713,719
A = Acceptable,A = Annehmbar
A Compendium of Common Curses and Their Counter-Actions,Ein Handbuch gängiger Flüche und Gegenflüche
A Study of Recent Developments in Wizardry,Jüngere Entwicklung der Zauberei
"Abbott, Hannah","Abbott, Hannah"
"Abercrombie, Euan","Abercrombie, Euan"
Aberdeen,Aberdeen
Abergaverny,Abergaverny
Abraxan Horse,"Abraxaner, Abraxas-Pferd"
Abstinence,Abstinenz
Abyssinian shrivelfig,Abessinische Schrumpelfeige
"Acanthia Way 18, Little Norton","Bärenklauweg 18, Little Norton"
Accidental Magic Reversal Department,Abteilung für die Umkehr verunglückter Zauberei
Accidental Magic Reversal Squad,Kommando für die Umkehr verunglückter Magie
Accio,Accio
Achievement in Charming,Große Errungenschaften der Zauberkunst
Acid Pops,Säuredrops
"Ackerly, Stewart","Ackerly, Stewart"
aconite/monkshood/wolfsbane,Aconitum/Eisenhut/Wolfswurz
Acromantula,Acromantula
Acromantula venom,Acromantula-Gift
Advanced Potion Making by Libatius Borage,Zaubertränke für Fortgeschrittene von Libatius Borage
Advanced Rune Translation,Runenübersetzung für Fortgeschrittene
"Adventures of Martin Miggs, the Mad Muggle","Abenteuer von Martin Miggs, dem mickrigen Muggel"
"Aesalon, Falco",
Aethon,Aethon
Africa,Afrika
Age,Alter
Age Line,Alterslinie
Ageing potion,Alterungstrank
Agnes,Agnes
"Agrippa, Cornelius","Agrippa, Cornelius"
Aguamenti,Aguamenti
Aguamenti Charm,Aguamenti-Zauber
Aingingein,Aingingein
Alarte Ascendare,Volate Ascendare
Albania,Albanien
Alchemy,Alchemie
"Alderton, Archibald",
Alecto,Alecto
"Alguff, the Awful",
Alice Band,Haarreif
Alihotsy,Alihotsy
All-England Best Kept Suburban Lawn Competition,Bestgepflegter-Vorstadtrasen- von-ganz-England-Wettbewerb
Alohomora,Alohomora
America,Amerika
Amortentia,Amortentia
Amuletts,Amulette
Amycus,Amycus
Anapneo,Anapneo
Ancient Magic,uralte Magie
Ancient Runes,Alte Runen
Ancient Runes Made Easy,Alte Runen leicht gemacht
Andorran Minister for Magic,Andorranischer Zaubereiminister
Andros the Invincible,
Anglesea,Anglesea
Animagus,Animagus
Annual broom race,Jährliches Besenrennen
An Anthology of Eighteenth Century Charms,Eine Anthologie der Zauberei des achtzehnten Jahrhunderts
Anti-Burglar Buzzer,Diebstahlschutzsummer
Anti-Cheating Spell,"Zauberspruch gegen Schummeln, Anti-Schummel-Zauber"
Anti-Disapparation Jinx,Antidisapparier-Fluch
Antidotes,Gegengifte
Anti-Gravity mist,Antischwerkraft Nebel
Anti-intruder jinx,Anti-Eindringlings-Fluch
Anti-Jinx Varnish,Anti-Fluch-Lackierung
Anti-Muggle Security,Muggelabwehr
Antipodean Opaleye,Antipodisches Opalauge
Anti-werewolf legislation,Anti-Werwolf-Gesetz
Aparecium,Aparecium
Apothecary,Apotheke
"Apparation Test Center, Ministy Apparition Instructor",Appariertestzentrum
"Apparition, Apparation, Disapparition","Apparieren, Disapparieren"
Apparition Instructor,Apparierlehrer
Apparition lessons,Apparierkurs
Apparation test / Apparition test,Prüfung im Apparieren
Appleby Arrows,Appleby Arrows
Appraisal of Magical Education in Europe,Handbuch der europäischen Magierausbildung
Aquavirius Maggots,Aquaviriusmaden
Aragog,Aragog
Arania Exumai,Arania Exumai
Archie,Archie
Archway,Steinbogen
arithmancy,Arithmantik
armadillo bile,Gürteltiergalle
Armenian Warlock,Armenischer Zauberer
Armour bewitching Charm,Rüstung Zauber
Arnold,Arnold
Arresto Momentum,Arresto Momentum
Artefact Accidents,Utensilien-Unglücke
Ash,Esche
Ashwinder,Aschwinderin
Ashwinder eggs,Aschwindereier
Asia,Asien
Asiatic Anti-Venoms,Asiatische Antidote
asphodel,Affodill
Assyria,Assyrien
Astrology,Astrologie
Astronomy,Astronomie
Astronomy Tower,Astronomieturm
Atrium,Atrium
"Aubrey, Bertram","Aubrey, Bertram"
Augurey,Augurey
Auror,Auror
Auror Headquaters,Aurorenzentrale
Auror Office,Aurorenbüro
Australia,Australien
Auto-Answer Quills,Selbstantwortende Federn
Avada Kedavra,Avada Kedavra
Avery,Avery
"Avery, Senior","Avery, Senior"
Avis,Avis
Axminster,Perser
Azkaban Fortress,Askaban Festung
Babbling Beverage,Plappertrank
Backfiring Jinx,Bumerang-Fluch
badger,Dachs
"Badock, Malcom","Badock, Malcom"
"Bagman, Ludo(vic)","Bagman, Ludo(vic)"
"Bagman, Otto","Bagman, Otto"
"Bagnold, Millicent","Bagnold, Millicent"
"Bagshot, Bathilda","Bagshot, Bathilda"
balaclava,Kapuzenmütze
Balderdash,Quatsch
Bane,Bane
Banishing Charm,Banishing Charm
Banshee,Todesfee
Barn owl,Schleiereule
Barnabas the Barmy,Barnabas der Bekloppte
Barny,
Baruffio,Baruffio
Baruffio's Brain Elixir,Baruffios Gehirnelixier
"Bashir, AliTeppichhändler","Bashir, AliTeppichhändler"
Basic Blaze Box,Vorhölle Sparbox
Basic Hexes for the Busy and Vexed,Zaubern für Dummies
Basilisk,Basilisk
Bat-Bogey Hex,Flederwichtfluch
Baubles,Flitterkram
"Bayliss, Hetty","Bayliss, Hetty"
Beater,Treiber
"Beaters' Bible, The by Brutus Scrimgeour",
Beauxbatons,Beauxbatons
"Beginner's Guide to Transfiguration, A by Emeric Switch",Verwandlungen für Anfänger - Emeric Wendel
Being and Spirit Division,Sein- und Geist-trennung
"Belby, Damocles","Belby, Damocles"
"Belby, Marcus","Belby, Marcus"
"Belcher, Humphrey","Belcher, Humphrey"
"Bell, Katie","Bell, Katie"
Bella,Bella
belladonna,belladonna
"belladonna, essense of",Belladonna Essenz
"Benson, Amy","Benson, Amy"
berserk,Berserker
Bertie Bott's Every-Flavour Beans,Bertie Botts Bohnen in allen Geschmacksrichtungen
Bethnal Green,
Bewitched Sleep,Verzauberter Schlaf
bezoar,Bezoar
Bibble,Bibble
bicorn horn,Zweihornhorn
"Bilius, Uncle","Bilius, Onkel"
Billywig,
Binding/Fastening Magic,Fesselzauber
"Binns, Professor","Binns, Professor Geist"
"Bishop, Dennis","Bishop, Dennis"
Bites,Bisse
black beetle eyes,schwarze Käfer Augen
"Black, ???","Black, ???"
"Black, Alphard","Black, Alphard"
"Black, Andromeda","Black, Andromeda"
"Black, Araminta Meliflua","Black, Araminta Meliflua"
"Black, Bellatrix","Black, Bellatrix"
"Black, Elladora","Black, Elladora"
"Black, Mrs.","Black, Mrs."
"Black, Narcissa, married Malfoy","Black, Narcissa, verheiratete Malfoy"
"Black, Phineas Nigellus","Black, Phineas Nigellus"
"Black, Regulus","Black, Regulus"
"Black, Sirius","Black, Sirius/Schwarz, Sirius"
Blast-Ended Skrewts,Knallrümpfige Kröter
Blasting Curse,
"Bletchley, Miles","Bletchley, Miles"
Blibbering Humdinger,Schlibbrige Summlinger
Blitzisten(Polizisten),please-men(Policemen)
Blood Blisterpod,Blutblasenschote
Blood Brothers: My Life amongst the Vampires by Eldred Worple,Blutsbrüder: Mein Leben unter Vampiren von Eldred Worple
Blooder,
Blood-Replenishing Potion,Blut bildender Trank
Bloodtraitor,Blutsverräter
Bloody Baron,blutige Baron
Bludger,Klatscher
Bluebell flames,Blaue Flammen
Bluebottle,Bulle
boa constrictor,Boa Constrictor
"Boardman, Stubby","Boardman, Stubby"
"Bobbin, Melinda","Bobbin, Melinda"
Bode and Croaker,Bode und Croaker
"Bode, Broderick","Bode, Broderick"
Body-Bind Curse,Ganzkörperklammer
bogey,Popel/Bogey
Boggart,Irrwicht
Boggart banishing Charm,
boil cure potion,Trank zur Heilung von Furunkeln
Bole,Furunkeln
"Bonaccord, Pierre","Bonaccord, Pierre"
Bonder,einer der den unbrechbaren Schwur besiegelt
"Bones, Amelia Susan","Bones, Amelia Susan"
"Bones, Edgar","Bones, Edgar"
"Bones, Familie",Bones
"Bones, Susan","Bones, Susan"
boomslang,Baumschlange
boomslang skin,Baumschlangenhaut
