Input.num,Translation
113,"Ein einzelner Schüler würde sich dem Dementor nähern und Dumbledore würde seinen Patronus zerstreuen; und der Schüler würde versuchen, seinen eigenen Patronuszauber zu wirken, und wenn sie versagten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler dauerhaften Schaden erleiden konnte"
113,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde seinen Patronus heraufbeschwören; und der Schüler würde dann seinen eigenen Patronus anrufen; und wenn es schiefginge, dann würde Dumbeldore seinen Patronus wieder anrufen, bevor dem Schüler irgendein Schaden widerfahren würde."
113,"Ein einzelner Schüler würde sich dem Dementor nähern, und Dumbledore würde seinen Patronus auflösen. Der Schüler würde versuchen, seinen eigenen Patronus Zauber zu wirken, und wenn er scheitern würde, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler einen dauerhaften Schaden erleiden könnte."
127,Und es war offensichtlich.
127,Und das war offensichtlich.
127,Und es war deutlich.
147,"""Ja!?"", sagte Dumbledore."
147,"""Ja!?"" sprach Dumbledore"
147,"""Jawohl!?"" sagte Dumbledore."
148,"""Mein eigener großer Feind war Grindelwald, und ihn habe ich sehr gut verstanden."
148,"""Mein eigener großer Feind war Grindelwald, und ich verstand ihn sehr gut."
148,"Mein eigener großer Feind war Grindewald, und ihn verstand ich wirklich sehr gut"
15,"Harry rezitierte so gut er konnte kleinlaut vor,  und hatte fast die Hälfte geschafft, bevor er merkte, dass es nicht weise war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken, aber letztendlich war Lucius definitiv ein Bösewicht und Dumbledores Gegner, daher war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, um zu versuchen, die Lage jetzt zu bemessen"
15,"Harry rezitierte verlegen, so gut er konnte, und war fast zur Hälfte fertig, bevor ihm klar wurde, dass es nicht klug war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht, ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein Bösewicht und Dumbledores Gegenspieler, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, und es war zu spät, die Dinge jetzt zu berechnen."
15,"Harry rezitierte schüchtern, so gut er konnte und war fast zur Hälfte fertig, bevor er erkannte, dass es nicht schlau war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken. Aber Lucius war definitiv ein schlechter Mensch und Dumbledores Gegner, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, aber es war zu spät, um die Dinge jetzt herauszufinden..."
167,"Es tut mir leid, Direktor,"
167,"""Es tut mir leid, Herr Direktor."
167,"""Es tut mir leid, Schulleiter."
274,"""Ja, nun"", sagte Harry, dessen Stimme ein wenig trocken klang, als er an seine Mum und seinen Dad und die ihnen zustehende Lebensspanne dachte, wenn Harry nichts dagegen unternahm, ""ich vermute, Herr Direktor, wenn Sie aus einer Kultur kämen, in der die Menschen daran gewöhnt sind, vierhundert Jahre alt zu werden, würde Ihnen ein Tod mit zweihundert Jahren genauso tragisch vorkommen wie ein Tod mit, sagen wir, achtzig Jahren."""
274,"""Ja, nun,"" sagte Harry, seine Stimme ein wenig trocken, als er an seine Mom und seinen Dad dachte, und an ihre zugeteilte Zeitspanne, wenn er nichts dagegen tat, ""Ich vermute, Direktor, wenn man aus einer Kultur kommt, in der die Leute daran gewöhnt sind, vierhundert Jahre lang zu leben, dass es genauso tragisch vorzeitig wäre, mit zweihundert zu sterben, wie, sagen wir, mit achtzig."""
274,"„Ja, nun“, sagte Harry mit etwas trockener Stimme, als er an seine Eltern dachte und die Dauer, die ihm zugeteilt wurde, wenn Harry nichts dagegen unternehmen würde, „ich vermute, wenn Sie aus einer Kultur kommen, in der Menschen… früher vierhundert Jahre gelebt hat, wäre der Tod mit zweihundert Jahren genauso tragisch verfrüht wie der Tod mit, sagen wir, achtzig Jahren."""
