Input.num,Translation
5,"Und so hatte Harry den verwandlung kurs beendet, und studierte bei Hermine, und zu abend gegessen, und sprach mit seinen leutnants, und schlussendlich, als die uhr neun schlug, hat sich unsichtbar gemacht und fiel zurück zu 6PM und trottete müde auf den wasserspeier zu, die wendeltreppen, die holztür, das zimmer voll mit kleinen kniffligen dingen, und die silberbärtige figur des Schulleiters."
5,"Und so hatte Harry den Verwandlungskurs beendet, und studierte mit Hermione, und ass das Abendessen, und sprach mit seinen Leutnants und schliesslich, als die Uhr neun schlug, machte sich unsichtbar und fiel zurück zu 6 Uhr abends und trottete müde in Richtung der Gargyle, der Wendeltreppe, the hölzernen Tür, des Zimmers das voll von kleinen Tüftelein war und der silberbärtigen Gestalt des Schulleiters."
7,"""Danke für dein Kommen, Harry,"" sagte der Direktor."
7,"Der Schulleiter sagte: Danke, dass du gekommen bist, Harry"""
10,",,Notizen?"" würgte Harry hervor."
10,"""Notiz?"" platze Harry haraus."
12,Harry fühlte sich recht peinlich berührt.
12,Harry schämte sich.
16,Harry wahrheitsgetreue Nacherzählungen endeten.
16,Harry beendete seine Wiedeholung ehrlich.
23,"Aus irgendeinem Grund fühlte Harry sich nicht so aufgebracht, wie er sollte."
23,Für unerkläreten Gründen fühlte Harry nicht so empört wie er sollt.
28,",,Ich muss gestehen, dass ich eine beachtliche Zahl an Eulen, die auf dem Weg zu dir waren, abgefangen habe"", sagte Dumbledore abgeklärt."
28,"„Ich fürchte ich habe eine gute Anzahl von Eulen die an dich gerichtet waren abgefangen“, sagte Dumbledore ernsthaft."
30,Harry fing an sich etwas empört zu fühlen und sagte:  das scheint ein bisschen zu weit zu gehen
30,",,Das"", sagte Harry, der nun langsam etwas empört wurde, ""scheint mir ein bisschen zu weit zu gehen -"""
31,",,In vielen dieser Briefe"", sagte der alte Zauberer ruhig, ,,wird man dich um Dinge bitten, die du nicht bieten kannst."
31,"„Viele dieser Briefe,“ sagte der alte Zauberer ruhig, „werden dich um Dinge bitten die Du nicht geben kannst."
33,"Aber ich weiß, denn ich erhalte sie auch."
33,"Aber ich weiß es, denn ich bekomme sie auch."
34,"Und du, Harry, bist zu jung um dein Herz schon jeden Morgen vorm Frühstück sechs mal gebrochen zu bekommen."""
34,"Und Du bist viel zu jung, Harry, um dein Herz jeden Morgen noch vor dem Frühstück zerbrechen zu lassen."
38,",,Der andere Grund, aus dem ich dich hierher gebeten habe"", sagte der alte Zauberer, ,,war, um deine einzigartige Genialität zurate zu ziehen."""
38,",,Der andere Grund, aus dem ich dich hergebeten habe"", sagte der alte Zauberer, ,,war, um deine einzigartige Genialität zurate zu ziehen."""
39,",,Verwandlung?"", sagte Harry überrascht und geschmeichelt."
39,"„Verwandlung?“ sagte Harry, überrascht und geschmeichelt."
40,",,Nein, nicht diese außergewöhnliche Genialität"", sagte Dumbledore."
40,",,Nein, nicht diese einmalige Genialität"", sagte Dumbledore."
43,",,Professor Quirrell ist nicht dazu fähig, selbst einen Patronuszauber zu vollführen"", sagte Dumbledore, während er langsam zwischen den Gerätschaften umherschritt."
43,"„Professor Quirrell ist nicht fähig den Patronus-Zauber selbst auszuführen,“ sagte Dumbledore als er langsam zwischen den Geräten durchlief."
44,",,Was nie ein gutes Zeichen ist."
44,"""Welche niemals ein gutes Zeichen wäre,"
47,",,Aber nun besteht er darauf, einen Dementoren mitzubringen-"""
47,"Und jetzt besteht er darauf einen Dementor zu bringen-"""
49,"Einen tatsächlichen Dementor reinzulassen passt völlig zu ihm."""
49,"Einen echten Dementor zu bringen ist sehr typisch für seinen Charakter."""
50,Nun sah der Schulleiter Harry seltsam an.
50,Jetzt gibt der Schulleiter Harry einen komischen Blick.
51,",,Ihn immitierend??"" sagte der alte Zauberer."
51,"""Im Charakter??"" sagte der alte Zauberer."
53,Warum hatte er es so ausgedrückt?
53,Warum hatte er das so gesagt?
54,Der Schulleiter nickte.
54,Der Schulleiter nickte.
55,",,Also hast du das selbe Gefühl wie ich; es handelt sich um eine Ausrede."
55,"""Sie haben also das gleiche Gefühl wie ich; dass es eine Ausrede ist."
58,"Warum dies so sein soll, weiß niemand; aber es ist so."""
58,"Niemand weiß, warum das der Fall ist, es ist eben so."""
61,In einer Geste der Hilflosigkeit spreizte der Schulleiter die Hände.
61,"Der Schulleiter breitete seine Hände aus, als wäre er hilflos."
63,Ich bin wohl misstrauisch
63,"Ich muss verdächtig sein."""
64,Der Schulleiter seufzte.
64,Der Schulleiter seufzte.
66,Aber moeglicherweise kann ich es nur nicht sehen.
66,"Aber vielleicht war ich einfach nur unfähig, es zu sehen."
67,"Und so frage ich nun dich."""
67,"Deshalb frage ich dich."""
84,Punkt  Eins: Harry war eher angetan von Professor Quirrrell als Dumbledore
84,Erster Punkt: Harry hatte mehr Sympathie für Professor Quirrell als für Dumbledore.
86,Punkt drei...
86,Drittens...
88,Er ist sehr viel erfahrener als ich
88,"Er hat einiges mehr an Erfahrung als ich."""
94,"Er ist es, den ich zu Rate ziehen will."""
94,"Er ist es, den ich konsultieren möchte."""
95,"Harry unterdrückte die Kälte die ihn bei dem Namen durchdrang, er runzelte die Stirn nachdenklich gegenüber dem Schulleiter."
95,"Harry unterdrückte das Schaudern das ihn bei dem Namen überlief, und runzelte nachdenklich seine Stirn."
99,Natürlich die Schulleiter hätte bemerkte etwas seltsam über den jungen in seinem büro...
99,"Natürlich hätte der Schulleiter bemerkt, dass an dem Jungen in seinem Büro irgendetwas besonders war..."
131,"Während deine ganze Aufmerksamkeit auf den Dementor gelenkt ist, läuft das wahre Geschehen anderswo ab."""
131,"Während eure Aufmerksamkeit auf dem Dementor gerichtet sind, wird die echte Handlung wiandrs passieren."""
134,"Und ich glaube, ich weiß, wovon es ablenken könnte, wenn Professor Quirrell schlecht meint... danke, Harry."
134,",,Und ich glaube schon, dass ich weiß wovon das eine Ablenkung sein könnte, falls Professor Quirrell Übles im Schilde führt... danke, Harry."""
135,Der Schulleiter starrte Harry immer noch an; ein seltsamer Ausdruck weilte in diesen uralten Augen.
135,"Der Schulleiter starrte immernoch Harry an, ein komischer Blick in den alten Augen."
137,",,Ich habe eine weitere Frage für diesen jungen Herrn"", sagte der Schulleiter."
137,"""Ich habe noch eine Frage, junger Mann,""safte der Schulleiter."
138,"""Es ist etwas habe ich lange gewundert an mich, noch gewesen unfähig nachvollziehen. Warum??"""
138,",,Das ist etwas, über das ich selbst lange nachgedacht habe, aber nie fähig war, zu verstehen. Warum??"""
144,Harry starrte den Schulleiter überrascht an.
144,Harry starrte auf dn Schulleiter überrascht.
145,Und wie soll ich das bitteschoen wissen? sagte Harry
145,",,Wie sollte ich das wissen?"" sagte Harry."
152,"Aber dann kam nach ihn Voldemort, um all das zu zerstören, dass ich in Grossbritannien beschützt hatte"
152,"Aber dann, nach ihm kam Voldemort, um alles was ich in Britannien beschützt hatte zu zerstören."
153,Der Schmerz war in Dumbledore Stimme einfach zu erkennen und in seinem Gesicht frei zu sehen.
153,Der Schmerz war deutlich in Dumbledore’s Stimme zu hören und deutlich ins Gesicht geschrieben.
154,"""Er hat sich verpflichtet verhält sich schlimmer bei weitem als Grindewalds am schlimmsten, grusel um der sache willen des grusel."
154,",,Er hat Taten vollbracht, die so viel schrecklicher als Grindelwalds schlimmste sind; Grauen um des Grauens Willen."
156,"Warum, Harry?"
156,"Warum, Harry?"
161,"Und irgendwie schien das nicht wie eine Antwort, die der Schulleiter hören wollte."
161,Irgendwie schien das keine Antwort zu sein die der Schulleiter hören wollte.
164,"""Nein!"" Die Stimme des Direktors klang jetzt gequält. ""Ich kann das nicht glauben, Harry!"
164,",,Nein!"" erklang die Stimme des Schulleiters mit tiefer Qual. ,,Das kann ich nicht glauben, Harry!"""
183,"""Du magst sehr weise sein, Harry..."" sagte der Schulleiter langsam."
183,",,Du magst sehr weise sein, Harry..."" sagte der Schulleiter langsam."
186,"Harry suchte in seinen Gedanken hastig nach etwas anderem wirklich Weisem, das er sagen könnte, um die ungewollte Kraft des Schlags -"
186,"Harry’s Gehirn suchte schnell nach etwas anderem und Wirklich Weise zu sagen, etwas was die unbeabsichtigte Stärke des Schlages abdämpfen würde."
190,Der Schmerz klang immer noch in seiner Stimme nach.
190,Das Leid war immer noch in seiner Stimme.
193,"Vielleicht wäre jetzt der richtige Zeitpunkt, den Mund zu halten."
193,"Vielleicht sollte er einfach seinen Mund halten solange er vorne lag,"
194,"""Aber du hast meine Frage beantwortet,"" sagte Dumbledore leise zu sich selbst"
194,",,Aber du hast meine Fragen beantwortet"", sagte Dumbledore, nun sanfter und als ob er mit sich selbst spräche."
199,",,Du hast für die Wissenschaft nichts übrig?"" sagte Harry etwas misstrauisch."
199,„Sie mögen die Wissenschaften nicht?“ fragte Harry vorsichtig.
203,Sind Wissenschaften so bedeutend wie Liebe?
203,Ist Wissenschaft so wichtig wie Liebe?
204,Wie Güte?
204,Wie Freunlichkeit?
205,Als Freundschaft?
205,Als Freundschaft?
206,"Ist es Wissenschaft, die dich Minerva McGonagall so mögen lässt?"
206,"Ist es die Wissenschaft, die Sie an Minerva McGonagall lieb gewinnt?"
213,Und dann seufzte er.
213,Und dann seufzte er.
214,Wie bist du so jung schon so klug geworden?
214,",,Wie bist du in einem so jungen Alter so weise geworden...?"""
216,",,Vielleicht wird es für dich von Wert sein."""
216,"""Vielleicht wird es sich für Sie als wertvoll erweisen."""
221,Harry erhob sich von dem Stuhl und streckte seine Arme.
221,Harry stand von seinem Stuhl auf und streckte seine Arme.
229,"Wutsch, zisch, pfeif; gurgel, plopp, blubber -"
229,"Wusch, zisch, pfeiff; schlurf, plop, blub -"
232,Sehr schlecht. Extrem schlecht.
232,Sehr schlimm. Am schlimmsten.
234,"es macht tatsächlich sehr viel Sinn und deutet nicht darauf hin, dass Sie ein psychisches Problem haben."
234,"Es macht tatsächlich sehr viel Sinn und deutet nun eben nicht darauf hin, dass du ein psychisches Problem hast."""
236,",,In Ordnung"", sagte Harry, ,,lass es mich dir so sagen."
236,"""Okay"", sagte Harry, ""lass es mich so ausdrücken."
237,"Bist du lebensmüde? Falls ja, dann gibt es eine sogenannte Muggel Hotline zur Selbstmord Prävention"
237,"Willst du sterben? Denn wenn das so sein sollte, gibt es für Muggel etwas namens Seelsorge-Telefon-"""
238,"""Wenn es soweit ist,"" sagte der alte Zauberer ruhig. ""Nicht vorher."
238,",,Wenn die Zeit reif ist"", sagte der alte Zauberer ruhig. ,,Vorher nicht."
239,"Ich würde diesen Tag nie zu hastig herbeiführen, noch würde ich ihn abwehren, wenn er kommt."""
239,"Ich würde niemals dem Tag nachjagen, noch würde ich ihn abweisen wenn er denn kommt."
240,Harry runzelte ernst die Stirn.
240,Harry runzelte die Stirn.
243,"Ich denke, ich habe mich vielleicht nicht klar genug ausgedrueckt."
243,",,Ich glaube, ich habe mich nicht klar ausgedrückt."
248,"Willst du für immer leben, Harry?"""
248,"Willst du auf ewig leben, Harry?"""
250,",,Ich möchte noch einen weiteren Tag leben."
250,„Ich möchte gerne noch einen Tag überleben.
253,"Wenn du nicht sterben willst, heißt das, du willst für immer leben."
253,"Wenn du nicht sterben willst, bedeutet das, dass du ewig leben willst."
254,"Wenn man nicht ewig leben will, heißt das dass man Sterben möchte."
254,"Wenn du nicht für immer weiter leben willst heißt es, dass du sterben willst."
255,Du musst das eine oder das andere machen....
255,Du musst das eine oder das andere machen.
256,"Ich komme hier nicht durch, oder?"
256,"Ich komme hier nicht durch, oder."""
262,"Was hättest du mit der Ewigkeit vor, Harry?"
262,"Was würdest du mit der Ewigkeit anfangen, Harry?"""
