num,image_url,suggestions,gtrans,dtrans
2,https://i.imgur.com/2NLgNuS.png,{'Charms': 'Zaubersprüche'},professor flitwick hatte harry während des zauberunterrichts an diesem montag schweigend ein gefaltetes pergament gereicht und der zettel hatte gesagt dass harry den schulleiter nach belieben besuchen sollte und auf eine weise dass es niemand sonst bemerken würde besonders nicht draco malfoy oder professor quirrell,professor flitwick hatte harry an jenem montag während des zauberkunstunterrichts stillschweigend ein gefaltetes pergament übergeben auf dem stand dass harry den schulleiter besuchen sollte wann es ihm passte und zwar so dass es niemand sonst bemerken würde vor allem nicht draco malfoy oder professor quirrell
4,https://i.imgur.com/2SGMvO3.png,{},dies war von einer bemerkenswert künstlerischen tuschezeichnung begleitet worden in der professor flitwick ihn streng anstarrte dessen augen gelegentlich blinzelten und am ende der notiz dreimal unterstrichen stand der satz don t get into trouble,dazu gab es eine bemerkenswert kunstvolle tuschezeichnung von professor flitwick der ihn streng anstarrte und dessen augen gelegentlich blinzelten und am unteren rand des zettels stand dreimal unterstrichen der satz don t get into trouble
6,https://i.imgur.com/MHv8Gbo.png,{},dieses mal sah dumbledore ziemlich ernst aus das übliche lächeln fehlte und er trug einen pyjama in einem dunkleren und nüchterneren purpur als üblich,diesmal sah dumbledore sehr ernst aus das übliche lächeln fehlte und er trug einen pyjama in einem dunkleren und schlichteren violett als sonst
13,https://i.imgur.com/gaWjmXk.png,{},ja wenn du gerade ein mysteriöses gespräch voller bedeutsamer hinweise durchforstet hättest die du nicht verstehst wäre es verdammt naheliegend alles sofort danach aufzuschreiben bevor die erinnerung verblasst damit du versuchen könntest es herauszufinden später heraus,ja wenn sie sich gerade durch ein mysteriöses gespräch voller bedeutsamer andeutungen gequält haben die sie nicht verstanden haben wäre es das naheliegendste alles sofort aufzuschreiben bevor die erinnerung verblasst damit sie später versuchen können es herauszufinden
17,https://i.imgur.com/4WluISf.png,{},dumbledores gesicht war distanzierter geworden als harry fortfuhr und am ende lag ein ausdruck von alter um ihn eine strenge in der luft,dumbledores gesicht wurde immer abweisender je weiter harry fortfuhr und am ende hatte er einen altertümlichen blick eine strenge in der luft
18,https://i.imgur.com/9Lij22Z.png,{},nun sagte dumbledore dann schlage ich vor dass du gut aufpasst dass der erbe von malfoy nicht zu schaden kommt und ich werde dasselbe tun,nun sagte dumbledore dann schlage ich vor dass du so gut wie möglich dafür sorgst dass dem erben von malfoy nichts zustößt und ich werde das gleiche tun
19,https://i.imgur.com/54s4leI.png,{},der schulleiter runzelte die stirn seine finger trommelten lautlos durch die tintenschwarze oberfläche eines tellers auf dem das wort leliel stand,der schulleiter runzelte die stirn seine finger trommelten lautlos auf die tiefschwarze oberfläche einer tafel auf der das wort leliel stand
25,https://i.imgur.com/8VBaBI9.png,{},sogar harry konnte verstehen warum dumbledore nicht wollte dass er mit lucius malfoy interagierte es schien keine böse tat zu sein,selbst harry konnte verstehen warum dumbledore nicht wollte dass er mit lucius malfoy zu tun hatte es schien keine böse tat zu sein
26,https://i.imgur.com/jKSC7Kk.png,{},nicht wie der schulleiter der zabini erpresst wofür sie nur zabinis wort hatten und zabini war absolut nicht vertrauenswürdig,nicht so wie der schulleiter der zabini erpresst dafür hatten sie nur zabinis wort und zabini war äußerst unzuverlässig und es war schwer zu verstehen warum zabini nicht einfach die geschichte erzählte die ihm die meiste sympathie von professor quirrell einbrachte
27,https://i.imgur.com/fMZXrs9.png,{},wie wäre es wenn ich anstatt zu protestieren sage dass ich deinen standpunkt verstehe sagte harry und du weiterhin meine eulen abfangst mir aber sagst von wem,wie wäre es wenn ich anstatt zu protestieren sage dass ich deinen standpunkt verstehe sagte harry und du weiterhin meine eulen abfängst aber du mir sagst von wem
29,https://i.imgur.com/PXXpqk9.png,{},du bist eine berühmtheit harry und du würdest jeden tag dutzende von briefen erhalten einige von weit außerhalb dieses landes hätte ich sie nicht zurückgeschickt,du bist eine berühmtheit harry und du würdest täglich dutzende von briefen erhalten einige davon von weit außerhalb dieses landes wenn ich sie nicht zurückweisen würde
36,https://i.imgur.com/0MoTbui.png,{},er sollte darauf bestehen die briefe zu lesen und selbst zu urteilen aber da war eine leise stimme des gesunden menschenverstandes in ihm und sie schrie gerade sehr laut,er sollte darauf bestehen die briefe zu lesen und sich selbst ein urteil zu bilden aber es gab eine kleine stimme des gesunden menschenverstandes in ihm und die schrie im moment sehr laut
42,https://i.imgur.com/OpKfVWw.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",es stellte sich heraus dass professor quirrell seine schüler gebeten oder vielmehr verlangt hatte ihre fähigkeiten gegen einen echten dementor zu testen nachdem sie die worte und gesten des patronuszaubers gelernt hatten,es stellte sich heraus dass professor quirrell von seinen schülern verlangte oder besser gesagt verlangte dass sie ihre fähigkeiten gegen einen echten dementor testen sollten nachdem sie die worte und gesten für den patronus-zauber gelernt hatten
45,https://i.imgur.com/wJ3bx0F.png,{'Patronus': 'Patronus'},aber dann teilte er mir diese tatsache mit als er verlangte dass externe lehrer hinzugezogen werden um jedem schüler der lernen wollte den patronus-zauber beizubringen er bot an die kosten selbst zu bezahlen wenn ich nicht wollte,doch dann teilte er mir diese tatsache freiwillig mit als er verlangte dass jeder schüler der den patronus-zauber erlernen wollte von einem externen lehrer unterrichtet werden sollte er bot an die kosten selbst zu tragen wenn ich dies nicht tun würde
48,https://i.imgur.com/Cpi6vfe.png,{},direktor sagte harry leise professor quirrell glaubt sehr stark an live-feuer-tests unter realistischen kampfbedingungen,schulleiter sagte harry leise professor quirrell hält sehr viel von schießversuchen unter realistischen kampfbedingungen
57,https://i.imgur.com/MOrW0T2.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",zauberer die anscheinend nicht in der lage sind einen patronuszauber zu wirken werden in der gegenwart eines echten dementors erfolgreich sein und von keinem einzigen lichtblitz zu einem vollen körperlichen patronus übergehen,oft gelingt es zauberern die scheinbar nicht in der lage sind einen patronus-zauber zu wirken in der gegenwart eines echten dementors der von keinem einzigen lichtflackern zu einem vollständigen körperlichen patronus wird
65,https://i.imgur.com/ddAKMNP.png,{'Dementor': 'Dementor'},und doch wird der dementor in einem mächtigen käfig bewacht bewacht ich werde immer selbst da sein um ihn zu beobachten - ich kann mir nicht vorstellen was böses getan werden könnte,und doch wird der dementor in einem mächtigen käfig bewacht bewacht bewacht bewacht - ich kann mir nicht vorstellen dass man ihm etwas böses antun könnte
75,https://i.imgur.com/OI3XdX8.png,{},schulleiter sagte harry müde ich weiß es klingt nicht gut aber im ernst ich bin nicht böse ich bin nur sehr kreativ,herr direktor sagte harry müde ich weiß dass es sich nicht gut anhört aber mal ganz im ernst ich bin nicht böse ich bin nur sehr kreativ -
78,https://i.imgur.com/e6VRSpe.png,{},vielmehr ist es das böse das die liebe nicht kennt und sich die liebe nicht vorzustellen wagt und die liebe niemals verstehen kann ohne aufzuhören böse zu sein,vielmehr ist es das böse das die liebe nicht kennt und sich die liebe nicht vorzustellen wagt und die liebe niemals verstehen kann ohne aufzuhören böse zu sein
79,https://i.imgur.com/r0Jq12t.png,{},und ich vermute dass du dir deinen weg in die köpfe von dark wizards besser vorstellen kannst als ich es jemals könnte während du immer noch weißt dass du dich selbst liebst,und ich vermute dass du dich besser in die gedankenwelt der dunklen zauberer hineinversetzen kannst als ich es je konnte und trotzdem selbst die liebe kennst
80,https://i.imgur.com/9m2QjeN.png,"{'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts'}",also harry die augen des schulleiters waren angespannt wenn sie in professor quirrells schuhen stünden welche untaten könnten sie begehen nachdem sie mich dazu gebracht haben einen dementor auf das gelände von hogwarts zu lassen,also harry die augen des schulleiters waren aufmerksam wenn du an professor quirrells stelle wärst welche untaten könntest du begehen nachdem du mich dazu gebracht hast einen dementor auf das gelände von hogwarts zu lassen
82,https://i.imgur.com/EUIXGgP.png,{},diesmal war es ein großer und bequemer stuhl kein hölzerner hocker und harry konnte fühlen wie er eingehüllt wurde als er darin sank,diesmal war es ein großer und bequemer stuhl kein holzschemel und harry fühlte sich umhüllt als er sich darauf niederließ
85,https://i.imgur.com/IgPfVZX.png,{},punkt zwei die hypothese war dass der verteidigungsprofessor vorhatte etwas böses zu tun und in diesem konjunktiv-fall sollte harry dem schulleiter helfen dies zu verhindern,punkt zwei die hypothese war dass der verteidigungsprofessor etwas böses vorhatte und in diesem konjunktiv sollte harry dem schulleiter helfen dies zu verhindern
92,https://i.imgur.com/I9wtlue.png,{'Slytherin': 'Slytherin'},ich erinnere mich fuhr der alte zauberer fort ein junger mann in genau diesem büro kalt und kontrolliert als er dem hauslehrer slytherin gegenüberstand und seinen eigenen schulleiter erpresste um seine klassenkameraden zu schützen,ich erinnere mich fuhr der alte zauberer fort an einen jungen mann in diesem büro kalt und beherrscht der sich mit dem leiter des hauses slytherin anlegte und seinen eigenen schulleiter erpresste um seine mitschüler zu schützen
93,https://i.imgur.com/nvjMnar.png,{},und ich glaube dass dieser junge mann schlauer ist als professor quirrell schlauer als lucius malfoy dass er voldemort selbst ebenbürtig werden wird,und ich glaube dass dieser junge mann gerissener ist als professor quirrell gerissener als lucius malfoy dass er voldemort selbst ebenbürtig sein wird
98,https://i.imgur.com/GlJhhqu.png,{},harry erinnerte sich noch immer daran wie es gewesen war unsichtbar der zeitumkehrung zuzusehen wie sein vergangenes ich den älteren slytherins gegenüberstand der junge mit der narbe auf der stirn der sich nicht wie die anderen benahm,harry erinnerte sich immer noch daran wie es war unsichtbar in der zeit umzukehren und zuzusehen wie sein früheres ich gegen die älteren slytherins antrat der junge mit der narbe auf seiner stirn der sich nicht wie die anderen verhielt
101,https://i.imgur.com/VexYCtO.png,{'Dark Lord': 'Dunkler Lord'},was nicht viel verlangte wenn man bedenkt dass der dunkle lord ein deutlich sichtbares dunkles mal auf alle linken arme seiner diener gelegt hatte und dass er das gesamte kloster abgeschlachtet hatte das die kampfkunst lehrte die er lernen wollte,was nicht sehr viel verlangt war wenn man bedenkt dass der dunkle lord allen seinen dienern ein deutlich sichtbares dunkles mal auf den linken arm gezeichnet und das gesamte kloster abgeschlachtet hatte in dem die kampfkunst gelehrt wurde die er lernen wollte
103,https://i.imgur.com/pa3Ry0R.png,{},aber es war auch klar dass der schulleiter nicht zufrieden sein würde bis harry ganz kalt und dunkel wurde und eine art antwort fand die beeindruckend schlau klang,aber es war auch klar dass der schulleiter nicht zufrieden sein würde bevor harry nicht kalt und düster wurde und mit einer antwort aufwartete die beeindruckend schlau klang und die besser nicht professor quirrells verteidigung in die quere kommen sollte
104,https://i.imgur.com/wMRRGvl.png,{},und natürlich würde harry zu seiner dunklen seite hinübergehen und es aus dieser richtung durchdenken nur um ehrlich zu sein und nur für den fall,und natürlich würde harry zu seiner dunklen seite übergehen und die sache aus dieser richtung durchdenken nur um ehrlich zu sein und für den fall der fälle
107,https://i.imgur.com/Ik1Kvo0.png,"{'Auror': 'Auror', 'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts', 'Patronus': 'Patronus'}",der dementor würde von einem auroren-trio auf das gelände von hogwarts gebracht alle drei waren dem schulleiter persönlich bekannt und alle drei waren in der lage einen körperlichen patronuszauber zu wirken,der dementor würde von einem auroren-trio auf das gelände von hogwarts gebracht werden wobei alle drei dem schulleiter persönlich bekannt waren und alle drei einen körperlichen patronus-zauber wirken konnten
109,https://i.imgur.com/otgxPsw.png,{'Dementor': 'Dementor'},harry fragte ob der pass dauerhaft oder vorübergehend sei ob jemand den gleichen dementor am nächsten tag einfach noch einmal hereinbringen könnte,harry fragte ob der passierschein dauerhaft oder vorübergehend sei - ob jemand denselben dementor am nächsten tag einfach wieder herbringen könne
110,https://i.imgur.com/FsedJrB.png,{'Dementor': 'Dementor'},der pass war vorübergehend erwiderte der schulleiter mit einem zustimmenden nicken und die erklärung ging weiter der dementor würde in einem käfig aus massiven titanstangen sein nicht verklärt sondern echt geschmiedet mit der zeit würde die anwesenheit eines dementors dieses metall zu staub zersetzen aber nicht an einem einzigen tag,der passierschein sei vorübergehend antwortete der schulleiter mit einem zustimmenden nicken und die erklärung ging weiter der dementor befände sich in einem käfig aus massivem titanium nicht verformt sondern echt geschmiedet mit der zeit würde die anwesenheit eines dementors dieses metall zu staub korrodieren aber nicht an einem einzigen tag
111,https://i.imgur.com/zIi1pPR.png,{'Dementor': 'Dementor'},schüler die darauf warteten an der reihe zu sein würden sich weit hinter dem dementor aufhalten hinter zwei körperlichen patronus die von zwei der drei auroren zu jeder zeit unterhalten wurden,schüler die darauf warteten dass sie an der reihe waren hielten sich weit hinter dem dementor auf und zwar hinter zwei leibhaftigen patronen die jeweils von zwei der drei auroren betreut wurden
113,https://i.imgur.com/xbmIKAg.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",ein einzelner schüler würde sich dem dementor nähern und dumbledore würde seinen patronus vertreiben und der schüler würde versuchen seinen eigenen patronuszauber zu wirken und wenn sie scheiterten würde dumbledore seinen patronus wiederherstellen bevor der schüler dauerhaften schaden erleiden konnte,ein einzelner schüler würde sich dem dementor nähern dumbledore würde seinen patronus auflösen und der schüler würde versuchen seinen eigenen patronus-zauber zu wirken und wenn er versagte würde dumbledore seinen patronus wiederherstellen bevor der schüler einen bleibenden schaden erleiden könnte
119,https://i.imgur.com/UdUbJCe.png,"{'Auror': 'Auror', 'Dementor': 'Dementor', 'Patronus': 'Patronus'}",und wenn dumbledores patronus aus irgendeinem grund versagte während einer der schüler noch in der nähe des dementors war würde der dritte auror einen anderen körperlichen patronus wirken und ihn senden um den schüler zu schützen,und wenn dumbledores patronus aus irgendeinem grund versagen sollte während einer der schüler noch in der nähe des dementors war würde der dritte auror einen weiteren körperlichen patronus zaubern und ihn zum schutz des schülers schicken
125,https://i.imgur.com/au6hjgw.png,{'Potions': 'Zaubertränke'},harry musste die gesamte sitzung in zaubertränke in gedanken durchgehen bevor sein blut zu etwas kühlte das sich tödlicher kristalliner klarheit annäherte,harry musste die gesamte sitzung in zaubertränke in gedanken durchgehen bevor sein blut zu einer fast tödlichen kristallinen klarheit gefror
