Input.num,flag,Translation
2,,"Professor Flitwick hatte stumm bestanden an Harry ein gefaltetes pergament während Zaubersprüche klasse an diesem montag, und der zettel hatte gesagt dass Harry zu besuch war der Schulleiter nach belieben und zwar so, dass niemand sonst würde es bemerken, besonders nicht Draco Malfoy oder Professor Quirrell."
2,,"Professor Flitwick hatte Harry während des Zauberunterrichts an diesem Montag schweigend ein gefaltetes Pergament gereicht, und der Zettel hatte gesagt, dass Harry den Schulleiter nach Belieben besuchen sollte und auf eine Weise, die niemand sonst bemerken würde, besonders nicht Draco Malfoy oder Professor Quirrell."
2,,"Professor Flitwick hatte leise Harry einen gefalteten Pergament während der Sprücheunterricht am Montag gegeben, und das Notiz sagte, dass Harry den Schulleiter nach seine Bequemlihkeit besuchen sollen, und zwar auf der Weise, sodass niemand anderer es mitbekkommt, besonders nicht Draco Malfoy oder Professor Quirrell."
2,x,"Während des Zauberrei Unterrichts am Montag hatte Professor Flitwick Harry heimlich ein Stück Pergament zugeschoben. Diese Notiz sagte, dass er den Schulleiter nach belieben besuchen könnte, aber so, dass niemand bemerken sollte, besonders nicht Draco Malfoy oder Professor Quirrell."
4,,"dies war von einer bemerkenswert künstlerischen tinte begleitet Zeichnung von Professor Flitwick, der ihn streng anstarrt, deren augen gelegentlich blinzelten; und am ende der notiz, dreimal unterstrichen, war der satz KOMMEN SIE KEINE PROBLEME."
4,,"Begleitet wurde dies von einer bemerkenswert künstlerischen Tuschezeichnung von Professor Flitwick, der ihn streng anstarrte, dessen Augen gelegentlich blinzelten; und am Ende der Notiz, dreimal unterstrichen, stand der Satz GEH NICHT IN SCHWIERIGKEITEN."
4,,"Dies war von einer bemerkenswert kunstvollen Tuschezeichnung von Professor Flitwick begleitet worden, der ihn streng anstarrte, dessen Augen gelegentlich blinzelten; und am Ende der Notiz, dreimal unterstrichen, stand der Satz DON'T GET INTO TROUBLE."
4,x,"Dies erreichte er durch ein bemerkenswertes, artistisches Tuschebild von Professor Flitwick, welches ihn anstarte und ab und zu blinzelte; und am Ende der Nachicht stand dreifrach unterstrichen, GERATE NICHT IN SCHWIERIGKEITEN. "
5,,"Und so hatte Harry den verwandlung kurs beendet, und studierte bei Hermine, und zu abend gegessen, und sprach mit seinen leutnants, und schlussendlich, als die uhr neun schlug, hat sich unsichtbar gemacht und fiel zurück zu 6PM und trottete müde auf den wasserspeier zu, die wendeltreppen, die holztür, das zimmer voll mit kleinen kniffligen dingen, und die silberbärtige figur des Schulleiters."
5,,"Und so hatte Harry den Verwandlungskurs beendet, und studierte mit Hermione, und ass das Abendessen, und sprach mit seinen Leutnants und schliesslich, als die Uhr neun schlug, machte sich unsichtbar und fiel zurück zu 6 Uhr abends und trottete müde in Richtung der Gargyle, der Wendeltreppe, the hölzernen Tür, des Zimmers das voll von kleinen Tüftelein war und der silberbärtigen Gestalt des Schulleiters."
5,,"Und so hatte Harry den Verklärungsunterricht beendet, mit Hermine gelernt, zu Abend gegessen, mit seinen Leutnants gesprochen und sich schließlich, als die Uhr neun schlug, unsichtbar gemacht, war auf sechs Uhr zurückgeworfen worden und stapfte müde in Richtung des Wasserspeiers, der sich drehenden Wendeltreppe, der Holztür, des Raums voller kleiner, fummeliger Dinge und der silberbärtigen Gestalt des Schulleiters."
6,,"Diesmal, Dumbledore sah ziemlich ernst, das übliche lächeln abwesend; und er war im pyjama gekleidet von einem dunkleren und nüchterner lila als sonst."
6,,Dieses Mal blickte Dumbledore recht ernst und es fehlte das übliche Lächeln; und er trug einen Schlafanzug von einem dunkleren und nüchterner wirkendem Violett als sonst.
6,,"Diesmal schien Dumbledore ziemlich ernsthaft zu sein, das gewöhnliche Lächeln fehlte, und er hatte einen Schlafanzug in einem dunkleren und mehr zurückhaltendes Lila an als üblich."
6,x,"Dieses mal, sah Dumbeldor ohne sein übliches lachen sehr ernst aus. Er trug ein wesentlich dunkleres und nüchternderes Lila als sonst.  "
7,,"""Danke für dein Kommen, Harry,"" sagte der Direktor."
7,,"Der Schulleiter sagte: Danke, dass du gekommen bist, Harry"""
7,,"""Danke, dass du gekommen bist, Harry"", sagte der Schulleiter."
10,,",,Notizen?"" würgte Harry hervor."
10,,"""Notiz?"" platze Harry haraus."
10,,"""Noten?"", platzte Harry heraus."
12,,Harry fühlte sich recht peinlich berührt.
12,,Harry schämte sich.
12,,Harry fühlte sich ziemlich peinlich berührt.
13,,Mein Pferd Jack läuft nach Hause
