Input.num,Translation
2,"Professor Flitwick hatte stumm bestanden an Harry ein gefaltetes pergament während Zaubersprüche klasse an diesem montag, und der zettel hatte gesagt dass Harry zu besuch war der Schulleiter nach belieben und zwar so, dass niemand sonst würde es bemerken, besonders nicht Draco Malfoy oder Professor Quirrell."
2,"Professor Flitwick hatte Harry während des Zauberunterrichts an diesem Montag schweigend ein gefaltetes Pergament gereicht, und der Zettel hatte gesagt, dass Harry den Schulleiter nach Belieben besuchen sollte und auf eine Weise, die niemand sonst bemerken würde, besonders nicht Draco Malfoy oder Professor Quirrell."
2,"Professor Flitwick hatte leise Harry einen gefalteten Pergament während der Sprücheunterricht am Montag gegeben, und das Notiz sagte, dass Harry den Schulleiter nach seine Bequemlihkeit besuchen sollen, und zwar auf der Weise, sodass niemand anderer es mitbekkommt, besonders nicht Draco Malfoy oder Professor Quirrell."
4,"dies war von einer bemerkenswert künstlerischen tinte begleitet Zeichnung von Professor Flitwick, der ihn streng anstarrt, deren augen gelegentlich blinzelten; und am ende der notiz, dreimal unterstrichen, war der satz KOMMEN SIE KEINE PROBLEME."
4,"Begleitet wurde dies von einer bemerkenswert künstlerischen Tuschezeichnung von Professor Flitwick, der ihn streng anstarrte, dessen Augen gelegentlich blinzelten; und am Ende der Notiz, dreimal unterstrichen, stand der Satz GEH NICHT IN SCHWIERIGKEITEN."
4,"Dies war von einer bemerkenswert kunstvollen Tuschezeichnung von Professor Flitwick begleitet worden, der ihn streng anstarrte, dessen Augen gelegentlich blinzelten; und am Ende der Notiz, dreimal unterstrichen, stand der Satz DON'T GET INTO TROUBLE."
6,"Diesmal, Dumbledore sah ziemlich ernst, das übliche lächeln abwesend; und er war im pyjama gekleidet von einem dunkleren und nüchterner lila als sonst."
6,Dieses Mal blickte Dumbledore recht ernst und es fehlte das übliche Lächeln; und er trug einen Schlafanzug von einem dunkleren und nüchterner wirkendem Violett als sonst.
6,"Diesmal schien Dumbledore ziemlich ernsthaft zu sein, das gewöhnliche Lächeln fehlte, und er hatte einen Schlafanzug in einem dunkleren und mehr zurückhaltendes Lila an als üblich."
13,Mein Pferd Jack läuft nach Hause
13,"Jawohl, wenn du nur durchgefummelt ein mysteriöses gespräch voller wichtiger hinweise du hast es nicht verstanden, die verdammt offensichtliche sache wäre alles aufzuschreiben gleich danach, bevor die erinnerung verblasste, also könntest du es versuchen um es später herauszufinden."
13,"Ja, wenn Sie nur durch ein mysteriöses Gespräch geflunkert hätten, das voller bedeutsamer Hinweise ist, die Sie nicht verstanden haben, wäre es naheliegend, alles sofort danach aufzuschreiben, bevor die Erinnerung verblasst, damit Sie später versuchen könnten, es herauszufinden."
13,"Ja, wenn du gerade ein mysteriöses Gespräch voller bedeutsamer Hinweise durchforstet hättest, die du nicht verstehst, wäre es verdammt naheliegend, alles sofort danach aufzuschreiben, bevor die Erinnerung verblasst, damit du versuchen könntest, es herauszufinden später heraus."
13,"Ja,  wenn du gerade durch ein mysteriöses Gespräch voll mit bedeutsamen Hinweisen die du nicht verstehst fumeltest, das verdammte, auffälige Ding, welches du sofort danach machen würdest, ist alles niederzuschreiben bevor die Erinnerung verblasste, soadass du danach versuchen könntest, es zu entschlüsseln."
15,"Harry rezitierte so gut er konnte kleinlaut vor,  und hatte fast die Hälfte geschafft, bevor er merkte, dass es nicht weise war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken, aber letztendlich war Lucius definitiv ein Bösewicht und Dumbledores Gegner, daher war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, um zu versuchen, die Lage jetzt zu bemessen"
15,"Harry rezitierte verlegen, so gut er konnte, und war fast zur Hälfte fertig, bevor ihm klar wurde, dass es nicht klug war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht, ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein Bösewicht und Dumbledores Gegenspieler, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, und es war zu spät, die Dinge jetzt zu berechnen."
15,"Harry rezitierte verlegen, so gut er konnte, und kam fast bis zur Hälfte, bevor ihm klar wurde, dass es nicht klug war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht, ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein Bösewicht und Dumbledores Gegenspieler, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, die Dinge jetzt zu berechnen..."
