num,image_url1,image_url2,image_url3,suggestions
174,https://i.imgur.com/KRsNE3E.png,https://i.imgur.com/QQuKR3W.png,,{}
302,https://i.imgur.com/nhlSpko.png,https://i.imgur.com/JysEQ37.png,,{}
5,https://i.imgur.com/GJwoLvH.png,https://i.imgur.com/4kJaa5X.png,https://i.imgur.com/vaWqLGT.png,{'Transfiguration': 'Verwandlung'}
15,https://i.imgur.com/HkRveGb.png,https://i.imgur.com/LcHvAm0.png,https://i.imgur.com/7qPDAID.png,{}
264,https://i.imgur.com/PhWNeij.png,https://i.imgur.com/9gK4QnC.png,https://i.imgur.com/xUCNsHP.png,{'Moon': 'Moon'}
274,https://i.imgur.com/I5xlJXV.png,https://i.imgur.com/aIMM8Vq.png,https://i.imgur.com/ERvqpvx.png,{}
306,https://i.imgur.com/oL5tEI5.png,https://i.imgur.com/inH7z4x.png,https://i.imgur.com/DhXhrhH.png,{}
311,https://i.imgur.com/UVNu4p8.png,https://i.imgur.com/CZ4X9oG.png,https://i.imgur.com/fpF9SLq.png,{'Australia': 'Australien'}
324,https://i.imgur.com/yVmZwVS.png,https://i.imgur.com/PLZyBHD.png,https://i.imgur.com/iLHmxOA.png,{}
352,https://i.imgur.com/eOm2qX3.png,https://i.imgur.com/NVERZJT.png,https://i.imgur.com/HVNyDwQ.png,{}
