num,image_url1,image_url2,image_url3,suggestions
2,https://i.imgur.com/m3t4EOQ.png,https://i.imgur.com/SxoaFNb.png,https://i.imgur.com/U5qRhlV.png,{'Charms': 'Zaubersprüche'}
4,https://i.imgur.com/nhXui0W.png,https://i.imgur.com/gi3nLi3.png,https://i.imgur.com/qZ862SB.png,{}
6,https://i.imgur.com/TL2P4oJ.png,https://i.imgur.com/N0X15qX.png,https://i.imgur.com/PdBd2lD.png,{}
13,https://i.imgur.com/a64pgLd.png,https://i.imgur.com/DLEBzUP.png,https://i.imgur.com/Av9cGVs.png,{}
17,https://i.imgur.com/rSNgeml.png,https://i.imgur.com/SWRWes8.png,https://i.imgur.com/ovtpqSq.png,{}
18,https://i.imgur.com/H3unQ1l.png,https://i.imgur.com/KZ7ZPLK.png,https://i.imgur.com/bUrBV7f.png,{}
19,https://i.imgur.com/pKBW72B.png,https://i.imgur.com/FyHnrh6.png,https://i.imgur.com/67D4PaK.png,{}
25,https://i.imgur.com/zQPuv3Z.png,https://i.imgur.com/bZgLxGV.png,https://i.imgur.com/29ZDIxu.png,{}
26,https://i.imgur.com/m1B8gyz.png,https://i.imgur.com/k6Xmlg6.png,https://i.imgur.com/fRQffFU.png,{}
27,https://i.imgur.com/giKMiQM.png,https://i.imgur.com/5q7TOtq.png,https://i.imgur.com/SlXLevG.png,{}
29,https://i.imgur.com/xs1eSnq.png,https://i.imgur.com/ePFbvGc.png,https://i.imgur.com/8jc4QcF.png,{}
36,https://i.imgur.com/6AFPq7O.png,https://i.imgur.com/o3xg5QP.png,https://i.imgur.com/pE7qI9m.png,{}
42,https://i.imgur.com/L9GKWou.png,https://i.imgur.com/lwp4pD3.png,https://i.imgur.com/JImLnQO.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
45,https://i.imgur.com/Z0peU5K.png,https://i.imgur.com/IMBsb7H.png,https://i.imgur.com/HIvHodi.png,{'Patronus': 'Patronus'}
48,https://i.imgur.com/uqkAVvj.png,https://i.imgur.com/UrB497O.png,https://i.imgur.com/tV9vq69.png,{}
57,https://i.imgur.com/jgGRyyL.png,https://i.imgur.com/szu2UYc.png,https://i.imgur.com/fmiTnJ2.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}"
65,https://i.imgur.com/HDTwvjg.png,https://i.imgur.com/ad3dft5.png,https://i.imgur.com/bms4o3Y.png,{'Dementor': 'Dementor'}
75,https://i.imgur.com/ufCDjh4.png,https://i.imgur.com/uznsIMc.png,https://i.imgur.com/mKWz4Nb.png,{}
78,https://i.imgur.com/enZ7Cdb.png,https://i.imgur.com/uVW7lQc.png,https://i.imgur.com/5FPXsAy.png,{}
79,https://i.imgur.com/yu7y5U9.png,https://i.imgur.com/id0oOYf.png,https://i.imgur.com/vyAdBaN.png,{}
80,https://i.imgur.com/RRViKjI.png,https://i.imgur.com/gzIopxq.png,https://i.imgur.com/lebuHkP.png,"{'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts'}"
82,https://i.imgur.com/fS2pBAC.png,https://i.imgur.com/z3eQUci.png,https://i.imgur.com/y0JXx0E.png,{}
85,https://i.imgur.com/RtTsN4O.png,https://i.imgur.com/zyqPKxp.png,https://i.imgur.com/MCdYiQK.png,{}
92,https://i.imgur.com/X6OmNTf.png,https://i.imgur.com/xrZ4Zqi.png,https://i.imgur.com/2ve4Usg.png,{'Slytherin': 'Slytherin'}
93,https://i.imgur.com/44ZtccW.png,https://i.imgur.com/lMuIw6X.png,https://i.imgur.com/blrZNRU.png,{}
98,https://i.imgur.com/LYnPH89.png,https://i.imgur.com/kFggA3b.png,https://i.imgur.com/ngxo4hT.png,{}
101,https://i.imgur.com/ITbI0ed.png,https://i.imgur.com/hivt6mN.png,https://i.imgur.com/iHYZ3Tb.png,{'Dark Lord': 'Dunkler Lord'}
103,https://i.imgur.com/bPsTsSA.png,https://i.imgur.com/FPvcj40.png,https://i.imgur.com/Qm0Y5nl.png,{}
104,https://i.imgur.com/jO5591o.png,https://i.imgur.com/zNtSJz8.png,https://i.imgur.com/V7kx2PG.png,{}
