num,image_url,suggestions,gtrans,dtrans
0,https://i.imgur.com/7We6U8g.png,{},pfeife tick bzzzt ding glorp pop splat glockenspiel blasen puff,pfeifen tick bzzzt ding glorp pop platsch glockenspiel tuten puffen
1,https://i.imgur.com/MI1a7mF.png,{},klingeln blase signalton thud knistern rauschen zischen pffft surren,klimpern blasen piepsen klopfen knistern zischen zischen pffft zischen
2,https://i.imgur.com/2NLgNuS.png,{'Charms': 'Zaubersprüche'},professor flitwick hatte harry während des zauberunterrichts an diesem montag schweigend ein gefaltetes pergament gereicht und der zettel hatte gesagt dass harry den schulleiter nach belieben besuchen sollte und auf eine weise dass es niemand sonst bemerken würde besonders nicht draco malfoy oder professor quirrell,professor flitwick hatte harry an jenem montag während des zauberkunstunterrichts stillschweigend ein gefaltetes pergament übergeben auf dem stand dass harry den schulleiter besuchen sollte wann es ihm passte und zwar so dass es niemand sonst bemerken würde vor allem nicht draco malfoy oder professor quirrell
3,https://i.imgur.com/G1w5fgd.png,{},sein einmaliges passwort für den wasserspeier wäre zimperliches knochenbrech,sein einmaliges passwort für den wasserspeier wäre squeamish ossifrage
4,https://i.imgur.com/2SGMvO3.png,{},dies war von einer bemerkenswert künstlerischen tuschezeichnung begleitet worden in der professor flitwick ihn streng anstarrte dessen augen gelegentlich blinzelten und am ende der notiz dreimal unterstrichen stand der satz don t get into trouble,dazu gab es eine bemerkenswert kunstvolle tuschezeichnung von professor flitwick der ihn streng anstarrte und dessen augen gelegentlich blinzelten und am unteren rand des zettels stand dreimal unterstrichen der satz don t get into trouble
5,https://i.imgur.com/ySIBgsm.png,{'Transfiguration': 'Verwandlung'},und so hatte harry den verwandlungskurs beendet und mit hermine gelernt zu abend gegessen und mit seinen leutnants gesprochen und schließlich als die uhr neun schlug sich unsichtbar gemacht und sich auf 18 uhr zurückgeworfen und müde zum wasserspeier trottete wendeltreppe die holztür der raum voller kleiner fummelei und die silberbärtige gestalt des schulleiters,und so hatte harry den verklärungsunterricht beendet mit hermine gelernt zu abend gegessen mit seinen leutnants gesprochen und sich schließlich als die uhr neun schlug unsichtbar gemacht war auf sechs uhr zurückgeworfen worden und stapfte müde in richtung des wasserspeiers der sich drehenden wendeltreppe der holztür des raums voller kleiner fummeliger dinge und der silberbärtigen gestalt des schulleiters
6,https://i.imgur.com/MHv8Gbo.png,{},dieses mal sah dumbledore ziemlich ernst aus das übliche lächeln fehlte und er trug einen pyjama in einem dunkleren und nüchterneren purpur als üblich,diesmal sah dumbledore sehr ernst aus das übliche lächeln fehlte und er trug einen pyjama in einem dunkleren und schlichteren violett als sonst
7,https://i.imgur.com/s96F8N6.png,{},danke dass du gekommen bist harry sagte der schulleiter,danke dass du gekommen bist harry sagte der schulleiter
8,https://i.imgur.com/N2Sn1vL.png,{},der alte zauberer erhob sich von seinem thron begann langsam durch den raum und die fremden geräte zu gehen,der alte zauberer erhob sich von seinem thron und begann langsam durch den raum und die seltsamen geräte zu gehen
9,https://i.imgur.com/ZXLs0jO.png,{},zuerst hast du die notizen der gestrigen begegnung mit lucius malfoy bei dir,erstens haben sie die notizen von der gestrigen begegnung mit lucius malfoy dabei
10,https://i.imgur.com/TeGZsx8.png,{},anmerkungen platzte harry heraus,noten platzte harry heraus
