num,image_url,suggestions,gtrans,dtrans
5,https://i.imgur.com/ySIBgsm.png,{'Transfiguration': 'Verwandlung'},und so hatte harry den verwandlungskurs beendet und mit hermine gelernt zu abend gegessen und mit seinen leutnants gesprochen und schließlich als die uhr neun schlug sich unsichtbar gemacht und sich auf 18 uhr zurückgeworfen und müde zum wasserspeier trottete wendeltreppe die holztür der raum voller kleiner fummelei und die silberbärtige gestalt des schulleiters,und so hatte harry den verklärungsunterricht beendet mit hermine gelernt zu abend gegessen mit seinen leutnants gesprochen und sich schließlich als die uhr neun schlug unsichtbar gemacht war auf sechs uhr zurückgeworfen worden und stapfte müde in richtung des wasserspeiers der sich drehenden wendeltreppe der holztür des raums voller kleiner fummeliger dinge und der silberbärtigen gestalt des schulleiters
15,https://i.imgur.com/OfFEA1t.png,{},harry rezitierte verlegen so gut er konnte und hatte fast die hälfte geschafft bevor er erkannte dass es nicht schlau war dem möglicherweise verrückten schulleiter einfach alles zu erzählen zumindest nicht ohne vorher darüber nachzudenken aber dann war lucius definitiv ein schlechter kerl und dumbledores gegner also war es wahrscheinlich eine gute idee es ihm zu sagen und harry hatte bereits angefangen zu reden und es war zu spät um die dinge jetzt auszurechnen,harry rezitierte verlegen so gut er konnte und war fast zur hälfte fertig bevor ihm klar wurde dass es nicht klug war dem möglicherweise verrückten schulleiter einfach alles zu erzählen zumindest nicht ohne vorher darüber nachzudenken aber dann war lucius definitiv ein bösewicht und dumbledores gegenspieler also war es wahrscheinlich eine gute idee es ihm zu sagen und harry hatte bereits mit dem reden begonnen und es war zu spät um zu versuchen die dinge jetzt zu berechnen
174,https://i.imgur.com/vlaAoNL.png,{},hinter den beln dieser welt steckt kein schicksal wenn hitler wie gewünscht in die architekturschule aufgenommen worden wäre wäre die ganze geschichte europas eine andere gewesen wenn wir in einem universum leben würden in dem schreckliche dinge nur aus guten gründen passieren dürfen würden sie einfach nicht passieren,es gibt kein schicksal das hinter den beln dieser welt steht wenn hitler wie er es wollte zur architekturschule zugelassen worden wäre wäre die ganze geschichte europas anders verlaufen wenn wir in einem universum leben würden in dem schreckliche dinge nur aus guten gründen geschehen dürfen würden sie gar nicht erst geschehen
264,https://i.imgur.com/RDtaihv.png,{'Moon': 'Moon'},triff all die interessanten menschen auf der welt lies all die guten bücher und schreibe dann noch etwas besseres feiere die zehnte geburtstagsfeier meines ersten enkelkindes auf dem mond feiere die hundertste geburtstagsfeier meines ersten ur-ur-ur-enkels rund um die ringe des saturn die tiefsten und letzten regeln der natur lernen die natur des bewusstseins verstehen herausfinden warum etwas überhaupt existiert andere sterne besuchen außerirdische entdecken außerirdische erschaffen rendezvous mit allen für eine party auf der anderen seite der milchstraße sobald wir das ganze erforscht haben treffen sie sich mit allen anderen die auf der alten erde geboren wurden um zu sehen wie die sonne endlich erlischt und ich habe mir sorgen gemacht einen weg zu finden um diesem universum zu entkommen bevor es keine negentropie mehr hat aber ich ich bin jetzt viel hoffnungsvoller da ich entdeckt habe dass die sogenannten gesetze der physik nur optionale richtlinien sind,alle interessanten menschen auf der welt treffen alle guten bücher lesen und dann etwas noch besseres schreiben die zehnte geburtstagsparty meines ersten enkels auf dem mond feiern die hundertste geburtstagsparty meines ersten ur-ur-ur-enkels um die ringe des saturn herum feiern die tiefsten und letzten regeln der natur kennenlernen die natur des bewusstseins verstehen herausfinden warum überhaupt etwas existiert andere sterne besuchen außerirdische entdecken außerirdische erschaffen uns mit allen zu einer party auf der anderen seite der milchstraße treffen wenn wir alles erforscht haben uns mit allen anderen treffen die auf der alten erde geboren wurden um zu sehen wie die sonne endlich erlischt und ich habe mir früher sorgen gemacht einen weg zu finden diesem universum zu entkommen bevor ihm die negentropie ausgeht aber jetzt da ich entdeckt habe dass die so genannten gesetze der physik nur optionale richtlinien sind bin ich viel hoffnungsvoller
274,https://i.imgur.com/Fkf2hMJ.png,{},ja nun sagte harry mit etwas trockener stimme als er an seine mum und seinen dad und ihre zugewiesene spanne dachte wenn harry nichts dagegen unternehmen würde die menschen waren daran gewöhnt vierhundert jahre zu leben und dass der tod mit zweihundert jahren genauso tragisch verfrüht erscheinen würde wie der tod mit sagen wir achtzig jahren,ja nun sagte harry dessen stimme etwas trocken klang als er an seine mum und dad und die ihnen zustehende lebensspanne dachte wenn harry nichts dagegen unternahm ich vermute herr direktor wenn sie aus einer kultur kämen in der die menschen daran gewöhnt waren vierhundert jahre alt zu werden würde ihnen ein tod mit zweihundert jahren genauso tragisch vorkommen wie ein tod mit sagen wir achtzig jahren
302,https://i.imgur.com/2WPrZJj.png,{},ich ich dachte es gäbe ein leben nach dem tod ich dachte dass nie jemand wirklich gestorben wäre ich dachte dass jeder den die menschliche spezies jemals verloren hatte wirklich in ordnung war ich dachte dass zauberer mit menschen sprechen könnten die gestorben sind dass es ich habe nur den richtigen zauber genommen um sie zu beschwören dass zauberer das können ich dachte ich könnte meine eltern treffen die für mich gestorben sind und ihnen sagen dass ich von ihrem opfer gehört habe und angefangen habe sie meine mutter zu nennen und vater -,ich dachte es gäbe ein leben nach dem tod ich dachte niemand wäre jemals wirklich gestorben ich dachte dass es allen die die menschliche spezies jemals verloren hatte doch gut ging ich dachte dass zauberer mit den verstorbenen sprechen könnten dass man nur den richtigen zauberspruch bräuchte um sie herbeizurufen dass zauberer das tun könnten ich dachte ich könnte meine eltern treffen die für mich gestorben sind und ihnen sagen dass ich von ihrem opfer gehört habe und dass ich angefangen habe sie meine mutter und meinen vater zu nennen -
306,https://i.imgur.com/OltZfsb.png,{},und dann spie harry aus die wut kam voll in seine stimme die kalte wut auf das universum weil er so war und auf sich selbst weil er so dumm war fragte ich hermine und sie sagte dass sie nur nachbilder seien eingebrannt in die stein der burg durch den tod eines zauberers wie die silhouetten an den mauern von hiroshima,und dann spuckte harry die wut kam ganz in seine stimme die kalte wut auf das universum weil es so ist und auf sich selbst weil er so dumm ist habe ich hermine gefragt und sie sagte dass es nur nachbilder sind eingebrannt in den stein des schlosses durch den tod eines zauberers wie die silhouetten die auf den mauern von hiroshima zurückgeblieben sind
311,https://i.imgur.com/J6ELqOt.png,{'Australia': 'Australien'},und professor mcgonagall als sie mir erzählte wie meine eltern gestorben waren tat sie nicht so als wären sie gerade auf eine lange reise in ein anderes land gegangen als wären sie zu zeiten der segelschiffe nach australien ausgewandert so würden sich die leute verhalten wenn sie wüssten dass der tod nur woanders hingeht wenn sie harte beweise für ein leben nach dem tod hätten anstatt sich dinge auszudenken um sich selbst zu trösten würde es alles ändern es wäre egal dass jeder es hatte jemanden im krieg verloren wäre ein bisschen traurig aber nicht schrecklich,und professor mcgonagall als sie mir vom tod meiner eltern erzählte tat sie nicht so als wären sie gerade auf eine lange reise in ein anderes land gegangen als wären sie nach australien ausgewandert als es noch segelschiffe gab so würden sich die menschen verhalten wenn sie tatsächlich wüssten dass der tod einfach nur woanders hingeht wenn sie handfeste beweise für ein leben nach dem tod hätten anstatt sich etwas auszudenken um sich zu trösten dann würde sich alles ändern es wäre egal dass jeder jemanden im krieg verloren hat es wäre ein bisschen traurig aber nicht schrecklich
324,https://i.imgur.com/nojHlu2.png,{},wenn man am schleier stand konnte man die stimmen der toten hören die immer flüsternd riefen kaum auf der falschen seite des verständnisses lauter und zahlreicher wurden wenn man blieb und zu hören versuchte wie sie sich zu verständigen versuchten und wenn man zu lange zuhörte ging man ihnen entgegen und in dem moment in dem man den schleier berührte wurde man durchgesaugt und man hörte nie wieder etwas davon,wenn du am schleier standest konntest du die stimmen der toten rufen hören immer in einem flüsterton der kaum zu verstehen war und der lauter und zahlreicher wurde wenn du stehenbliebst und zu hören versuchte während sie versuchten sich mitzuteilen und wenn du zu lange zuhörtest würdest du ihnen entgegengehen und in dem moment in dem du den schleier berührtest würdest du hindurchgesaugt werden und nie wieder etwas von dir hören lassen
352,https://i.imgur.com/obQc7FN.png,{},und dumbledore sagte harry er solle den umhang der unsichtbarkeit aus seinem beutel ziehen auf anweisung des schulleiters starrte harry auf die innen- und rückseite der kapuze bis er sie schwach gezeichnet von dem silbrigen netz in verblichenem scharlachrot wie getrocknetes blut sah das symbol der heiligtümer des todes ein dreieck mit einem darin eingezeichneten kreis und eine linie die beide trennt,auf anweisung des schulleiters starrte harry auf die innenseite und die rückseite der kapuze bis er das symbol der heiligtümer des todes sah das sich in verblasstem scharlachrot wie getrocknetes blut von dem silbrigen gewebe abhob ein dreieck mit einem kreis darin und einer linie die beide trennte
